city,sublocation,url,listings
Dubai,Jumeirah Village Circle (JVC),https://www.bayut.com/for-sale/property/dubai/jumeirah-village-circle-jvc/,"12,380"
Dubai,Business Bay,https://www.bayut.com/for-sale/property/dubai/business-bay/,"6,458"
Dubai,Dubai Land Residence Complex,https://www.bayut.com/for-sale/property/dubai/dubai-residence-complex/,"4,938"
Dubai,Dubailand,https://www.bayut.com/for-sale/property/dubai/dubailand/,"4,389"
Dubai,Al Furjan,https://www.bayut.com/for-sale/property/dubai/al-furjan/,"3,778"
Dubai,Majan,https://www.bayut.com/for-sale/property/dubai/majan/,"3,604"
Dubai,Downtown Dubai,https://www.bayut.com/for-sale/property/dubai/downtown-dubai/,"3,275"
Dubai,Dubai Islands,https://www.bayut.com/for-sale/property/dubai/dubai-islands/,"3,228"
Dubai,Dubai Marina,https://www.bayut.com/for-sale/property/dubai/dubai-marina/,"3,053"
Dubai,Dubai Sports City,https://www.bayut.com/for-sale/property/dubai/dubai-sports-city/,"2,854"
Dubai,Dubai Hills Estate,https://www.bayut.com/for-sale/property/dubai/dubai-hills-estate/,"2,725"
Dubai,Jumeirah Village Triangle (JVT),https://www.bayut.com/for-sale/property/dubai/jumeirah-village-triangle-jvt/,"2,719"
Dubai,Dubai South,https://www.bayut.com/for-sale/property/dubai/dubai-south/,"2,719"
Dubai,Arjan,https://www.bayut.com/for-sale/property/dubai/arjan/,"2,645"
Dubai,Dubai Creek Harbour,https://www.bayut.com/for-sale/property/dubai/dubai-creek-harbour/,"2,557"
Dubai,Dubai Investment Park (DIP),https://www.bayut.com/for-sale/property/dubai/dubai-investment-park-dip/,"2,326"
Dubai,Palm Jumeirah,https://www.bayut.com/for-sale/property/dubai/palm-jumeirah/,"2,016"
Dubai,Dubai Production City (IMPZ),https://www.bayut.com/for-sale/property/dubai/dubai-production-city-impz/,"1,986"
Dubai,Sobha Hartland,https://www.bayut.com/for-sale/property/dubai/sobha-hartland/,"1,949"
Dubai,Dubai Science Park,https://www.bayut.com/for-sale/property/dubai/dubai-science-park/,"1,900"
Dubai,Jumeirah Lake Towers (JLT),https://www.bayut.com/for-sale/property/dubai/jumeirah-lake-towers-jlt/,"1,752"
Dubai,DAMAC Hills 2 (Akoya by DAMAC),https://www.bayut.com/for-sale/property/dubai/damac-hills-2-akoya-by-damac/,"1,705"
Dubai,Al Jaddaf,https://www.bayut.com/for-sale/property/dubai/al-jaddaf/,"1,626"
Dubai,Dubai Harbour,https://www.bayut.com/for-sale/property/dubai/dubai-harbour/,"1,591"
Dubai,Mohammed Bin Rashid City,https://www.bayut.com/for-sale/property/dubai/mohammed-bin-rashid-city/,"1,574"
Dubai,International City,https://www.bayut.com/for-sale/property/dubai/international-city/,"1,471"
